	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recall@50%FDR	recall@25%FDR	recall@10%FDR
ENCSR663WAR	161.0	218974.0	24054.0	0.0006620365230335254	0.9004272397189017	0.09891072375806471	0	0.9697831904601737	0.506260364996744	0.546583850931677	0.35403726708074534	0.17391304347826086
ENCSR000BJJ	48.0	241787.0	1354.0	0.00019737734848204483	0.9942349366130869	0.005567686038431015	1	0.9718009377399667	0.30681448143667195	0.2708333333333333	0.25	0.25
ENCSR867WPH	1199.0	221896.0	20094.0	0.004930321683957745	0.9124425858077463	0.08262709250829602	2	0.9217613005099159	0.16247879274350244	0.041701417848206836	0.0	0.0
ENCSR000BOZ	335.0	231246.0	11608.0	0.0013775294112809379	0.9508900484808113	0.04773242210790784	3	0.9757538234465307	0.2776360163487017	0.21791044776119403	0.08656716417910448	0.04477611940298507
ENCSR137ZMQ	1185.0	227134.0	14870.0	0.004872753290650482	0.9339813889608494	0.061145857748500135	4	0.9372344227439635	0.35458192212439965	0.32236286919831225	0.17974683544303796	0.10717299578059072
ENCSR000BHM	329.0	232012.0	10848.0	0.0013528572427206824	0.9540398620003372	0.04460728075694213	5	0.9730789917741913	0.4154008072230059	0.44072948328267475	0.23708206686930092	0.1276595744680851
ENCSR893QWP	685.0	219327.0	23177.0	0.0028167392439625146	0.9018787856358634	0.09530447512017402	6	0.9284211133068349	0.16307815583125038	0.0948905109489051	0.042335766423357665	0.00145985401459854
ENCSR000BMW	212.0	238270.0	4707.0	0.000871749955795698	0.9797729338086838	0.01935531623552052	7	0.947559115194353	0.27205888996358235	0.25	0.11320754716981132	0.07075471698113207
ENCSR000BQS	130.0	231063.0	11996.0	0.0005345636521388714	0.9501375473397234	0.049327889008137706	8	0.96633572129346	0.3143976890214351	0.2076923076923077	0.15384615384615385	0.15384615384615385
ENCSR000BOX	379.0	230052.0	12758.0	0.001558458647389479	0.9459802869373204	0.05246125441529016	9	0.9686620466718389	0.32949272893375486	0.29815303430079154	0.158311345646438	0.052770448548812667
ENCSR000BJO	133.0	231920.0	11136.0	0.0005468997364189992	0.9536615554157466	0.0457915448478344	10	0.9955013006818529	0.4102455802058016	0.3533834586466165	0.21052631578947367	0.12030075187969924
ENCSR000BQP	721.0	221704.0	20764.0	0.0029647722553240484	0.9116530764138181	0.08538215133085789	11	0.9399273189683056	0.3038671259030932	0.29819694868238555	0.05547850208044383	0.011095700416088766
ENCSR000BOT	533.0	220821.0	21835.0	0.002191710973769373	0.9080221556073671	0.08978613341886352	12	0.9573678919670006	0.24612112140732953	0.14446529080675422	0.0450281425891182	0.03189493433395872
ENCSR000BMN	212.0	233320.0	9657.0	0.000871749955795698	0.959418394746473	0.0397098552977314	13	0.9425641033935093	0.32100590701923415	0.32547169811320753	0.16037735849056603	0.07547169811320754
ENCSR000BJL	96.0	228780.0	14313.0	0.00039475469696408967	0.9407497872025462	0.05885545810048974	14	0.9838553277165837	0.45118112951233075	0.4479166666666667	0.25	0.15625
ENCSR000BTF	391.0	225695.0	17103.0	0.0016078029845099902	0.9280641805344814	0.0703280164810086	15	0.9640086158418648	0.36000452905232083	0.3171355498721228	0.1483375959079284	0.09462915601023018
ENCSR892DRK	339.0	211782.0	31068.0	0.0013939775236544417	0.870853533671342	0.1277524888050035	16	0.9154993422996971	0.37936405112850147	0.3392330383480826	0.23008849557522124	0.1592920353982301
ENCSR000BGF	93.0	233428.0	9668.0	0.00038241861268396187	0.9598624937805575	0.03975508760675853	17	0.9933778479919944	0.43189053424928575	0.3010752688172043	0.21505376344086022	0.1935483870967742
