	auROC	auPRC	recall@50%FDR	recall@25%FDR	recall@10%FDR
0	0.9697831904601737	0.506260364996744	0.546583850931677	0.35403726708074534	0.17391304347826086
1	0.9718009377399667	0.30681448143667195	0.2708333333333333	0.25	0.25
2	0.9217613005099159	0.16247879274350244	0.041701417848206836	0.0	0.0
3	0.9757538234465307	0.2776360163487017	0.21791044776119403	0.08656716417910448	0.04477611940298507
4	0.9372344227439635	0.35458192212439965	0.32236286919831225	0.17974683544303796	0.10717299578059072
5	0.9730789917741913	0.4154008072230059	0.44072948328267475	0.23708206686930092	0.1276595744680851
6	0.9284211133068349	0.16307815583125038	0.0948905109489051	0.042335766423357665	0.00145985401459854
7	0.947559115194353	0.27205888996358235	0.25	0.11320754716981132	0.07075471698113207
8	0.96633572129346	0.3143976890214351	0.2076923076923077	0.15384615384615385	0.15384615384615385
9	0.9686620466718389	0.32949272893375486	0.29815303430079154	0.158311345646438	0.052770448548812667
10	0.9955013006818529	0.4102455802058016	0.3533834586466165	0.21052631578947367	0.12030075187969924
11	0.9399273189683056	0.3038671259030932	0.29819694868238555	0.05547850208044383	0.011095700416088766
12	0.9573678919670006	0.24612112140732953	0.14446529080675422	0.0450281425891182	0.03189493433395872
13	0.9425641033935093	0.32100590701923415	0.32547169811320753	0.16037735849056603	0.07547169811320754
14	0.9838553277165837	0.45118112951233075	0.4479166666666667	0.25	0.15625
15	0.9640086158418648	0.36000452905232083	0.3171355498721228	0.1483375959079284	0.09462915601023018
16	0.9154993422996971	0.37936405112850147	0.3392330383480826	0.23008849557522124	0.1592920353982301
17	0.9933778479919944	0.43189053424928575	0.3010752688172043	0.21505376344086022	0.1935483870967742
