	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
ENCSR000BJO	2521.0	5555374.0	193215.0	0.00043835016196873297	0.9659655266548545	0.03359612318317681	0	0.9932894427100945	0.4017077137488888	0.3752479174930583	0.3018643395477985	0.23244744149147165	0.14240380801269337
ENCSR000BOX	11629.0	5394279.0	345202.0	0.0020220444401167774	0.9379544122786732	0.06002354328121006	1	0.9543848740946254	0.2645408329635344	0.19950124688279303	0.13672714764812108	0.09355920543468914	0.07567288674864563
ENCSR000BOT	7096.0	5510204.0	233810.0	0.0012338487700635182	0.9581113906706705	0.04065476055926595	2	0.9708515392185735	0.2848839993045894	0.22759301014656144	0.14289740698985343	0.09484216459977451	0.07567643742953777
ENCSR000BJL	1688.0	5575937.0	173485.0	0.00029350855747846936	0.9695410103440901	0.030165481098431434	3	0.9918593769435851	0.5503534621183264	0.5693127962085308	0.47808056872037913	0.34834123222748814	0.1552132701421801
ENCSR000BJJ	995.0	5727080.0	23035.0	0.0001730100797932921	0.9958216761633841	0.004005313756822596	4	0.9809856478204597	0.5766029355822491	0.6050251256281407	0.535678391959799	0.4311557788944724	0.3035175879396985
ENCSR000BMN	5408.0	5493704.0	251998.0	0.0009403402125850488	0.9552423792972139	0.04381728049020102	5	0.9489916430469353	0.36161202600883857	0.3406065088757396	0.25388313609467456	0.16863905325443787	0.13553994082840237
ENCSR000BGF	2332.0	5539658.0	209120.0	0.00040548694078186646	0.9632328367915063	0.0363616762677118	6	0.9926294887712777	0.5048851275660581	0.508147512864494	0.3979416809605489	0.30017152658662094	0.22126929674099485
ENCSR137ZMQ	26903.0	5445594.0	278613.0	0.0046778795745516955	0.9468770376501232	0.04844508277532511	7	0.9442457885727179	0.317041881279411	0.2860647511429952	0.1324759320521875	0.0	0.0
ENCSR000BQP	14905.0	5308570.0	427635.0	0.0025916736073557972	0.9230513761691221	0.07435695022352207	8	0.9330576364612058	0.2693289676976969	0.22723918148272393	0.10016772895001677	0.03535726266353573	0.028111372022811137
ENCSR000BMW	5129.0	5648059.0	97922.0	0.0008918278384520554	0.9820815459972075	0.01702662616434045	9	0.949998476298437	0.27599121123133474	0.24137258724897642	0.1879508676155196	0.14915188145837396	0.10664846948722947
ENCSR000BHM	7471.0	5511426.0	232213.0	0.0012990535740057137	0.9583238713917835	0.040377075034210785	10	0.9671433404984224	0.3867530616467618	0.3630036139740329	0.2501673136126355	0.15232231294338108	0.1232766697898541
ENCSR000BOZ	6461.0	5525283.0	219366.0	0.0011234353020547338	0.9607333193070555	0.03814324539088976	11	0.9674739581285576	0.2728371547075959	0.21730382293762576	0.14301191765980498	0.09797245008512614	0.07831605014703606
ENCSR663WAR	4315.0	5176002.0	570793.0	0.0007502899440281963	0.9000005216384316	0.09924918841754027	12	0.974604448182431	0.5635234123182682	0.5993047508690614	0.4584009269988413	0.2910776361529548	0.05376593279258401
ENCSR867WPH	27502.0	5309261.0	414347.0	0.004782033381382029	0.923171526887853	0.07204643973076502	13	0.9153798947499423	0.14825233446149202	0.02276198094684023	0.0	0.0	0.0
ENCSR000BTF	7711.0	5444346.0	299053.0	0.0013407846485287188	0.9466600360626035	0.051999179288867714	14	0.9618141792986828	0.38101983925009025	0.3290105044741279	0.2300609518869148	0.1635326157437427	0.11113992997017248
ENCSR892DRK	7496.0	5289408.0	454206.0	0.0013034005609351934	0.9197194976274146	0.07897710181165027	15	0.926359964838802	0.39358535949321516	0.3815368196371398	0.26881003201707576	0.1554162219850587	0.0416221985058698
ENCSR000BQS	2879.0	5493033.0	255198.0	0.0005005990147988823	0.9551257061680267	0.044373694817174424	16	0.9718436596243543	0.4273322222076486	0.4046543938867662	0.3285863146926016	0.2420979506773185	0.20701632511288642
ENCSR893QWP	15063.0	5271483.0	464564.0	0.0026191465647501092	0.9166027079989776	0.0807781454362723	17	0.9193429475940269	0.15389934561894855	0.09367323906260373	0.0	0.0	0.0
