expr	pos	neg	amb	pos%	neg%	amb%		auROC	auPRC	recallAtFDR50	recallAtFDR25	recallAtFDR10	recallAtFDR05
ENCSR000EYV	1500.0	4862268.0		0.00030840286789994917	0.9996915971321001		0	0.9437906864313795	0.052232092780955273	0.017333333333333333	0.004666666666666667	0.004666666666666667	0.004666666666666667
ENCSR000DYS	3394.0	4616388.0	243986.0	0.0006978128891016183	0.9491381990259404	0.050163988084958	1	0.9463325113382578	0.06018291319596513	0.0041249263406010605	0.0035356511490866236	0.0035356511490866236	0.002357100766057749
Merged	4096.0	4616118.0	243554.0	0.0008421454312787946	0.9490826865097184	0.05007516805900281	0	0.9409840316412783	0.0694005718118122	0.002685546875	0.0	0.0	0.0
ENCSR000EAG	10269.0	4853499.0		0.002111326033643052	0.9978886739663569		0	0.9513233279673109	0.10617342918003557	0.0017528483786152498	0.0	0.0	0.0
ENCSR000EAG	10269.0	4853499.0		0.002111326033643052	0.9978886739663569		0	0.9438858226584955	0.09699465713706132	0.0	0.0	0.0	0.0
ENCSR000BGQ	18410.0	4845358.0		0.003785131198692043	0.9962148688013079		0	0.9603973222873357	0.2160255439065805	0.1267246061922868	0.02313959804454101	5.431830526887561e-05	5.431830526887561e-05
ENCSR000BGQ	18410.0	4845358.0		0.003785131198692043	0.9962148688013079		0	0.9584869357241655	0.2634730341000314	0.1913633894622488	0.06583378598587725	0.00010863661053775122	0.00010863661053775122
ENCSR332EYT	4856.0	4513509.0	345403.0	0.0009984028843481021	0.9279860799281545	0.07101551718749743	0	0.9542091048037142	0.1684169042034181	0.00020593080724876442	0.00020593080724876442	0.00020593080724876442	0.00020593080724876442
ENCSR332EYT	4856.0	4513509.0	345403.0	0.0009984028843481021	0.9279860799281545	0.07101551718749743	0	0.9482998039108632	0.11857796832783757	0.0	0.0	0.0	0.0
